"","X","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"296",492,492,"Patty Mills",35.9,"2009-10","2024-25","21-36",921,0,19.9,3.1,7.3,1.4,3,1.7,4.4,0.8,0.9,0.3,1.3,1.6,2.2,0.6,0.1,0.9,1.3,8.7,0.423,0.479,0.385,0.857,0.562,0.538,"G","ATL,BRK,LAC,MIA,POR,SAS,UTA",110,111,20.1,15.8,0.094,0.3,-0.5,-0.2,8.5,13.3,1.7,7.3,4.5,16.2,1.6,0.4,10.8,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297",501,501,"Ben Simmons",35.4,"2017-18","2024-25","21-28",383,3,31.1,5.4,9.7,5.4,9.6,0,0.1,2.3,3.8,1.7,5.7,7.4,7.2,1.5,0.7,3,2.8,13.1,0.558,0.562,0.139,0.592,0.576,0.559,"G-F","BRK,LAC,PHI",113,107,16.8,18.6,0.143,0.9,2.1,3,15,18.4,6,19.8,13,34.4,2.3,1.8,20.9,19.8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
"298",503,503,"Mitchell Robinson",35.2,"2018-19","2024-25","20-26",337,0,24.1,3.4,4.8,3.4,4.8,0,0,1.1,2.1,3.7,4.2,7.8,0.6,0.9,1.8,0.7,2.8,7.8,0.7,0.7,0,0.522,0.682,0.7,"C","NYK",140,107,21.8,13.4,0.208,0.7,1.5,2.1,8.5,20.3,16.3,19,17.6,3.8,1.9,7.1,10.8,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299",510,510,"Larry Nance Jr.",34.7,"2015-16","2024-25","23-32",546,0,23.1,3.2,5.9,2.7,4.6,0.4,1.2,0.9,1.3,1.8,4.3,6.1,1.9,1.1,0.5,0.9,2.1,7.7,0.539,0.589,0.353,0.696,0.596,0.577,"F-C","ATL,CLE,LAL,NOP,POR",121,110,20.7,14,0.132,0,1.2,1.2,10.3,16.2,8.7,20.9,14.7,11.7,2.4,1.9,12.5,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",513,513,"John Drew",34.4,"1978-79","1984-85","24-30",440,1,27.9,7,15,7,14.9,0,0.2,5.9,7.8,2.3,3.1,5.5,1.5,1.2,0.2,2.7,3.6,19.9,0.467,0.47,0.175,0.758,0.541,0.468,"F-G","ATL,UTA",107,105,21,13.4,0.134,1.4,-1.2,0.2,6.7,19.3,9,12.3,10.6,8.9,2,0.3,12.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301",517,517,"Marcus Smart",34.2,"2014-15","2024-25","20-30",635,0,29.5,3.6,9.2,2,4.3,1.6,4.9,1.9,2.4,0.8,2.6,3.4,4.6,1.6,0.4,1.9,2.5,10.6,0.388,0.461,0.324,0.776,0.516,0.474,"G","BOS,MEM,WAS",106,108,9.4,24.8,0.088,-1.5,1.1,-0.4,7.7,12.4,2.9,9.7,6.3,21.7,2.6,1.1,15.5,17.9,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
"302",518,518,"De'Aaron Fox",33.9,"2017-18","2024-25","20-27",531,1,33.3,7.9,16.9,6.4,12.2,1.5,4.6,4.1,5.5,0.6,3.3,3.9,6.1,1.4,0.4,2.7,2.6,21.5,0.47,0.523,0.33,0.746,0.557,0.515,"G","SAC,SAS",111,115,20.5,13.4,0.092,1.6,-0.7,0.8,12.7,18.6,2,11.1,6.5,29.1,2.1,1.1,12.4,28.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"303",522,522,"Tyus Jones",33.9,"2015-16","2024-25","19-28",682,0,21.1,3,6.7,2,4,1,2.7,0.7,0.9,0.3,1.7,2,4.4,1,0.1,0.8,0.8,7.7,0.445,0.491,0.378,0.821,0.544,0.521,"G","MEM,MIN,PHO,WAS",120,115,23.5,10.3,0.113,0.4,0.1,0.5,9.3,15,1.4,8.9,5.2,28.7,2.2,0.4,10.3,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",523,523,"Mickey Johnson",33.9,"1978-79","1985-86","26-33",623,0,26.7,5,11.2,4.9,10.9,0.1,0.3,3.6,4.5,2.2,4.3,6.5,3.3,1.2,0.7,2.9,3.4,13.6,0.445,0.452,0.165,0.804,0.517,0.447,"F","CHI,GSW,IND,MIL,NJN",102,104,12.1,21.8,0.098,0.2,0.5,0.6,11,16.3,8.9,17.9,13.4,17.4,2,1.4,17.8,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305",524,524,"Bobby Portis",33.8,"2015-16","2024-25","20-29",654,0,22.8,4.8,10.1,3.7,7.2,1.1,2.9,1.1,1.5,1.9,5.3,7.2,1.3,0.6,0.4,1.1,1.9,12,0.478,0.517,0.383,0.765,0.554,0.534,"F","CHI,MIL,NYK,WAS",111,110,15.9,17.9,0.109,0.6,-1,-0.4,6,17.2,9,24.4,16.8,8.9,1.3,1.5,9.2,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306",525,525,"Tim Hardaway Jr.",33.8,"2013-14","2024-25","21-32",813,0,27.4,4.7,11.4,2.5,5.1,2.3,6.3,2,2.4,0.3,2.6,2.9,1.8,0.6,0.1,1,1.6,13.7,0.417,0.486,0.361,0.815,0.551,0.517,"G","ATL,DAL,DET,NYK",110,115,20.7,13.1,0.073,0.2,-1.4,-1.2,4.5,13.1,1.3,10.4,5.8,10.4,1.1,0.4,7.3,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"307",528,528,"Cody Zeller",33.5,"2013-14","2023-24","21-31",552,0,20.9,3,5.7,2.9,5.5,0.1,0.3,1.9,2.6,1.9,3.7,5.7,1.3,0.6,0.6,1,2.5,7.9,0.52,0.535,0.22,0.727,0.575,0.525,"C-F","CHA,CHO,MIA,NOP,POR",116,107,19,14.6,0.14,-1.2,0.5,-0.7,3.9,16.1,10,20,14.9,10,1.4,2.4,12.7,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
