"","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"2245",2245,"Rayjon Tucker",0.8,"2019-20","2021-22","22-24",39,0,7.7,0.9,1.8,0.7,1.1,0.2,0.7,1,1.3,0.2,0.8,1,0.5,0.2,0,0.3,0.6,3,0.5,0.634,0.31,0.776,0.639,0.564,"F","DEN,MIL,PHI,UTA",123,113,0.5,0.3,0.129,-2.2,-1,-3.2,-0.1,12.8,2.6,11.4,7.1,9.4,1.1,0.3,12.4,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2246",2246,"Pape Sow",0.8,"2004-05","2006-07","23-25",76,0,11.6,1,2.5,1,2.5,0,0,0.8,1.2,1,1.8,2.8,0.2,0.4,0.3,0.5,2.2,2.9,0.416,0.416,0,0.678,0.477,0.416,"F","TOR",99,108,0.1,0.7,0.044,-4.9,-0.8,-5.7,-0.8,9.3,10.3,19.2,14.6,2.1,2,2.1,15.2,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2247",2247,"Jay Williams",0.8,"2002-03","2002-03","21",75,0,26.1,3.6,9.1,2.8,6.4,0.9,2.7,1.4,2.1,0.4,2.2,2.6,4.7,1.1,0.2,2.3,2.4,9.5,0.399,0.431,0.322,0.64,0.472,0.446,"G","CHI",94,107,-0.5,1.3,0.02,-1.3,-0.8,-2,0,12.2,1.5,9.3,5.5,29.2,2.3,0.6,18.4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2248",2248,"Ron Boone",0.8,"1978-79","1980-81","32-34",215,0,23.8,3.8,8.6,3.7,8.2,0.2,0.7,1.6,1.8,0.6,1.5,2.1,2.9,0.9,0.1,2.1,2.5,9.4,0.444,0.45,0.337,0.863,0.497,0.452,"G-F","LAL,UTA",94,110,-1.2,2,0.008,-2.6,-1.5,-4.1,-2.8,10.5,2.9,7.1,5.1,17,1.8,0.2,18.3,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2249",2249,"George Zidek",0.8,"1995-96","1997-98","22-24",135,0,9.8,1.2,2.9,1.2,2.9,0,0,1,1.2,0.8,1.3,2.1,0.2,0.1,0.1,0.5,1.8,3.4,0.408,0.409,0.25,0.783,0.484,0.409,"C","CHH,DEN,SEA",101,113,0.3,0.5,0.029,-5,-2.5,-7.5,-1.8,8.7,9.7,16.3,13,3.8,0.6,0.7,12.8,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2250",2250,"Russell Cross",0.8,"1983-84","1983-84","22",45,0,7.9,1.4,2.5,1.4,2.5,0,0,0.8,2,0.8,1,1.8,0.5,0.3,0.2,0.4,1.3,3.7,0.571,0.571,0,0.418,0.546,0.571,"C","GSW",110,109,0.5,0.3,0.106,-0.6,-0.2,-0.8,0.1,15.3,10,15.6,12.6,8.8,1.6,1.1,11.1,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2251",2251,"Trevelin Queen",0.8,"2021-22","2024-25","24-27",62,0,11.9,1.5,4,0.9,1.8,0.6,2.1,0.6,0.7,0.7,1,1.7,1.1,0.7,0.3,0.7,1,4.1,0.372,0.491,0.271,0.857,0.482,0.445,"G","HOU,IND,ORL",100,110,-0.4,1.2,0.051,-2.8,1.4,-1.4,0.1,11.1,6.5,10,8.2,12.9,3,2.6,13.9,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2252",2252,"Quincy Lewis",0.8,"1999-00","2003-04","22-26",159,0,11.7,1.5,3.7,1.2,3,0.2,0.7,0.4,0.6,0.4,0.9,1.3,0.6,0.4,0.2,0.6,2.1,3.6,0.397,0.412,0.333,0.71,0.454,0.429,"F","MIN,UTA",91,105,-0.9,1.7,0.02,-4.7,-0.2,-4.9,-1.4,6.7,4.8,9,6.9,8.4,1.7,1.5,13.6,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2253",2253,"Bilal Coulibaly",0.8,"2023-24","2024-25","19-20",122,0,30,3.7,8.7,2.7,5.3,1,3.4,1.9,2.6,1.2,3.3,4.5,2.5,1.1,0.7,1.7,2.3,10.3,0.427,0.501,0.311,0.728,0.527,0.487,"F","WAS",103,120,-1.1,1.8,0.01,-3.3,-0.6,-3.9,-1.8,9.9,4.2,11.8,7.9,11.8,1.7,2.1,15.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2254",2254,"Anthony Jones",0.8,"1986-87","1989-90","24-27",164,0,10.4,1.4,3.6,1.3,3.3,0.1,0.3,0.7,0.9,0.5,0.8,1.3,0.7,0.5,0.2,0.6,1.1,3.6,0.393,0.401,0.306,0.74,0.449,0.406,"G-F","CHI,DAL,SAS,WSB",95,109,-0.8,1.6,0.022,-3,0.2,-2.8,-0.3,9.8,5.7,8.4,7,9.8,2.4,1.3,12.7,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2255",2255,"Alan Ogg",0.8,"1990-91","1992-93","23-25",80,0,8.2,0.9,1.9,0.9,1.9,0,0,0.3,0.6,0.6,1.1,1.7,0.2,0.2,0.7,0.4,1.7,2.2,0.493,0.5,0,0.568,0.511,0.493,"C","MIA,MIL,WSB",101,108,0.1,0.7,0.057,-5.4,0.5,-4.9,-0.5,9.1,8,14.7,11.3,2.8,0.9,5.4,14.9,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
